reward,return,success
162.08,62.93,0.0
267.12,80.45,1.0
-131.02,41.87,0.0
270.09,56.76,1.0
137.87,68.49,0.0
226.85,52.03,1.0
115.11,58.75,0.0
177.46,74.02,0.0
156.22,47.92,0.0
141.36,72.39,0.0
221.55,41.33,1.0
238.73,53.41,1.0
177.6,57.46,0.0
127.8,47.08,0.0
46.38,44.01,0.0
268.24,58.96,1.0
278.97,82.62,1.0
85.95,53.05,0.0
5.51,8.27,0.0
113.85,46.35,0.0
263.24,68.34,1.0
124.75,52.89,0.0
266.62,83.26,1.0
-7.7,-3.41,0.0
287.77,57.87,1.0
261.2,75.45,1.0
150.18,80.04,0.0
215.39,48.95,1.0
113.12,45.58,0.0
232.17,48.71,1.0
79.48,59.4,0.0
161.9,52.61,0.0
-15.45,8.35,0.0
242.28,53.16,1.0
249.84,75.47,1.0
240.93,45.61,1.0
229.9,36.69,1.0
239.87,47.86,1.0
262.58,78.76,1.0
246.11,76.7,1.0
235.54,45.7,1.0
272.88,57.72,1.0
252.24,49.71,1.0
156.6,50.35,0.0
6.39,13.36,0.0
259.53,87.13,1.0
159.27,64.35,0.0
250.39,72.88,1.0
280.03,49.44,1.0
120.51,43.4,0.0
195.94,88.05,0.0
140.87,50.24,0.0
168.53,53.56,0.0
229.67,43.2,1.0
230.09,36.31,1.0
244.92,60.26,1.0
293.66,90.0,1.0
1.87,4.33,0.0
242.51,64.29,1.0
261.11,50.63,1.0
252.31,63.03,1.0
264.11,68.15,1.0
196.03,62.22,0.0
241.16,61.55,1.0
298.63,79.25,1.0
162.95,44.49,0.0
269.99,86.51,1.0
261.31,77.15,1.0
240.98,48.64,1.0
202.28,50.13,1.0
271.53,60.79,1.0
229.96,49.6,1.0
292.01,53.43,1.0
235.28,61.26,1.0
262.65,49.06,1.0
238.66,24.99,1.0
241.66,57.83,1.0
42.58,26.56,0.0
98.21,48.91,0.0
269.16,76.62,1.0
249.75,59.23,1.0
254.03,49.64,1.0
284.44,60.72,1.0
248.8,61.05,1.0
118.7,32.9,0.0
304.89,74.23,1.0
33.25,21.31,0.0
262.13,64.11,1.0
108.76,67.55,0.0
125.54,38.41,0.0
146.88,54.49,0.0
272.04,58.63,1.0
261.9,52.22,1.0
232.13,36.06,1.0
67.35,29.76,0.0
66.49,31.56,0.0
148.76,66.8,0.0
266.27,54.85,1.0
253.45,53.1,1.0
245.39,53.64,1.0
300.55,85.58,1.0
298.81,43.61,1.0
283.49,57.89,1.0
134.58,50.46,0.0
255.09,45.09,1.0
274.58,63.08,1.0
133.25,72.17,0.0
265.43,80.1,1.0
282.17,47.47,1.0
226.02,44.23,1.0
258.16,55.46,1.0
256.32,52.93,1.0
226.93,41.45,1.0
228.19,51.65,1.0
247.37,50.23,1.0
255.46,54.14,1.0
219.85,32.41,1.0
251.18,61.54,1.0
172.83,37.92,0.0
240.3,58.16,1.0
304.51,55.14,1.0
265.5,52.65,1.0
220.61,41.44,1.0
